state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-0.010527765894935065,0.005769755354991039,0.06891653834896694,-0.021836486390717502,0.0007809546008473705,407,0.009241412544920724,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.0004403087993027164,0.0004403087993027164,False,moratorium_intensity,median_days_homeless
AL,-0.01016363091755552,0.005745615158813372,0.07778534417679084,-0.021425036628829726,0.001097774793718689,407,0.009219331116965823,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-7.617382192317071e-05,7.617382192317071e-05,False,moratorium_intensity,median_days_homeless
AR,-0.006350229886636441,0.003874408809932877,0.10211820167471841,-0.01394407115410488,0.0012436113808319974,407,-0.009005228202895621,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0037372272089959075,0.0037372272089959075,False,moratorium_intensity,median_days_homeless
AZ,-0.010150077333558273,0.00581676742878139,0.08187812836503183,-0.0215509414939698,0.001250786826853251,407,0.008989536545680132,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-6.262023792592483e-05,6.262023792592483e-05,False,moratorium_intensity,median_days_homeless
CA,-0.010063335437211832,0.005759981493968198,0.08150506608407437,-0.021352899165389502,0.0012262282909658358,407,0.0077490873677456,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,2.4121658420516237e-05,2.4121658420516237e-05,False,moratorium_intensity,median_days_homeless
CO,-0.011191835881896478,0.0056421609581468486,0.04808959842598637,-0.0222504713598643,-0.00013320040392865613,407,0.00950512226379785,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.0011043787862641298,0.0011043787862641298,False,moratorium_intensity,median_days_homeless
CT,-0.01032031783720737,0.0058024144004492455,0.07617926456222324,-0.02169305006208789,0.0010524143876731503,407,0.00910392514718239,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.00023286074157502154,0.00023286074157502154,False,moratorium_intensity,median_days_homeless
DC,-0.009934296091306747,0.007020522293933583,0.15795712065857126,-0.023694519787416567,0.0038259276048030737,407,0.007219288433797044,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00015316100432560126,0.00015316100432560126,False,moratorium_intensity,median_days_homeless
DE,-0.009618914630656639,0.005674563863862605,0.09095742440195287,-0.020741059803827344,0.0015032305425140679,407,0.008468982021016203,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0004685424649757096,0.0004685424649757096,False,moratorium_intensity,median_days_homeless
FL,-0.009628353504818986,0.005747853189678762,0.0948138390625024,-0.02089414575658936,0.0016374387469513876,407,0.006934447068735805,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0004591035908133624,0.0004591035908133624,False,moratorium_intensity,median_days_homeless
GA,-0.010207201337111237,0.005791073256502761,0.07885502730469596,-0.021557704919856646,0.0011433022456341733,407,0.009074097363814593,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.00011974424147888872,0.00011974424147888872,False,moratorium_intensity,median_days_homeless
HI,-0.009783035202706453,0.005607629814353677,0.0819435515844893,-0.02077398963883966,0.0012079192334267536,407,0.007287132465829571,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0003044218929258956,0.0003044218929258956,False,moratorium_intensity,median_days_homeless
IA,-0.009882113816652834,0.0056963494513484975,0.08366404022329021,-0.02104695874129589,0.0012827311079902214,407,0.0091546683950825,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00020534327897951503,0.00020534327897951503,False,moratorium_intensity,median_days_homeless
ID,-0.009852536390909963,0.005771805118427627,0.08871711127639959,-0.02116527442302811,0.001460201641208185,407,0.008134677686460923,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00023492070472238592,0.00023492070472238592,False,moratorium_intensity,median_days_homeless
IL,-0.010521492720601227,0.005870271771145303,0.07395287696757502,-0.022027225392046018,0.0009842399508435667,407,0.0091077601713907,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.000434035624968878,0.000434035624968878,False,moratorium_intensity,median_days_homeless
IN,-0.010107847117778429,0.005771609454923662,0.08077950160010294,-0.021420201649428806,0.0012045074138719476,407,0.009324312214936126,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-2.0390022146080447e-05,2.0390022146080447e-05,False,moratorium_intensity,median_days_homeless
KS,-0.009719330282331861,0.005484348445568856,0.07724228822360457,-0.020468653235646818,0.0010299926709830976,407,0.013146293799488173,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0003681268133004876,0.0003681268133004876,False,moratorium_intensity,median_days_homeless
KY,-0.010336939133716097,0.005691421719840736,0.07020014617511183,-0.02149212570460394,0.0008182474371717444,407,0.008618719147434839,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.0002494820380837485,0.0002494820380837485,False,moratorium_intensity,median_days_homeless
LA,-0.009442543236547756,0.00581669264718768,0.10542473192633461,-0.02084326082503561,0.001958174351940097,407,0.007822459650305591,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0006449138590845921,0.0006449138590845921,False,moratorium_intensity,median_days_homeless
MA,-0.012130016333424174,0.006146745154129633,0.04924485864822037,-0.024177636835518254,-8.239583133009404e-05,407,0.011800653097333247,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.0020425592377918255,0.0020425592377918255,False,moratorium_intensity,median_days_homeless
MD,-0.010282381878186933,0.00567184311996996,0.07071650488507086,-0.021399194393328054,0.0008344306369541896,407,0.009297243860025728,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.00019492478255458447,0.00019492478255458447,False,moratorium_intensity,median_days_homeless
ME,-0.009633776974261024,0.005683106082275502,0.09094464603403196,-0.020772664895521008,0.001505110946998959,407,0.008016173614157962,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00045368012137132416,0.00045368012137132416,False,moratorium_intensity,median_days_homeless
MI,-0.009294355279845155,0.005690582455348247,0.10331821674595298,-0.02044789689232772,0.0018591863326374095,407,0.008163381855041951,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0007931018157871939,0.0007931018157871939,False,moratorium_intensity,median_days_homeless
MN,-0.012018555614764202,0.006367905307009566,0.05994815765737571,-0.02449965001650295,0.0004625387869745482,407,0.009837652923044615,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.001931098519131853,0.001931098519131853,False,moratorium_intensity,median_days_homeless
MO,-0.01015168823756036,0.005811371676991053,0.08154786665978397,-0.02154197672446282,0.0012386002493421037,407,0.009246271391000982,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-6.423114192801067e-05,6.423114192801067e-05,False,moratorium_intensity,median_days_homeless
MS,-0.00973552093452525,0.0058157095878001676,0.09503349467300914,-0.021134311726613578,0.001663269857563078,407,0.0094618628038603,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00035193616110709876,0.00035193616110709876,False,moratorium_intensity,median_days_homeless
MT,-0.010322398290021762,0.005713810941224158,0.07169807642370962,-0.02152146773482111,0.0008766711547775873,407,0.009755023891423797,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.00023494119438941322,0.00023494119438941322,False,moratorium_intensity,median_days_homeless
NC,-0.010275365154718318,0.005759254437677656,0.07527574350190758,-0.021563503852566522,0.001012773543129888,407,0.00911684089933773,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.00018790805908596928,0.00018790805908596928,False,moratorium_intensity,median_days_homeless
ND,-0.011115749000255786,0.005718138068456612,0.052712359998037694,-0.022323299614430747,9.180161391917317e-05,407,0.009425646978145186,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-0.0010282919046234375,0.0010282919046234375,False,moratorium_intensity,median_days_homeless
NE,-0.009972921096383602,0.005746988737404003,0.08357276842307781,-0.021237019021695447,0.0012911768289282435,407,0.008527907344973662,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00011453599924874693,0.00011453599924874693,False,moratorium_intensity,median_days_homeless
NH,-0.009976827323857948,0.005720989091058508,0.08206480516023351,-0.021189965942332623,0.0012363112946167272,407,0.00808569095128775,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.00011062977177440057,0.00011062977177440057,False,moratorium_intensity,median_days_homeless
NJ,-0.009956833032979971,0.0057234896865839754,0.08281083626001351,-0.021174872818684562,0.0012612067527246213,407,0.008917528757928617,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,0.0001306240626523774,0.0001306240626523774,False,moratorium_intensity,median_days_homeless
NM,-0.010122128611192684,0.005723849475740371,0.07787302442079613,-0.02134087358364381,0.0010966163612584432,407,0.008874627256813206,-0.010087457095632349,0.005697343738716416,0.07749782253103188,-0.02125425082351652,0.0010793366322518257,-3.467151556033575e-05,3.467151556033575e-05,False,moratorium_intensity,median_days_homeless
