state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-0.088726850528487,0.043520716576693014,0.04223704734176503,-0.1740274550188053,-0.003426246038168698,407,0.08880928224022544,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.020680879685922193,0.020680879685922193,False,overall_days,exit_rate
AL,-0.10900370552155336,0.04946330644246576,0.02820165704040023,-0.20595178614878623,-0.01205562489432048,407,0.07761806178121866,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0004040246928558311,0.0004040246928558311,False,overall_days,exit_rate
AR,-0.11154249844809153,0.05007040228708513,0.026542204668432268,-0.2096804869307784,-0.013404509965404668,407,0.07620146974563569,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.0021347682336823326,0.0021347682336823326,False,overall_days,exit_rate
AZ,-0.10925524196226631,0.049705458032750977,0.028607220856789795,-0.20667793970645823,-0.011832544218074392,407,0.07492604405143422,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0001524882521428822,0.0001524882521428822,False,overall_days,exit_rate
CA,-0.11658317710103895,0.05187645816936655,0.025249022551052658,-0.21826103511299738,-0.014905319089080521,407,0.08263697386669855,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.007175446886629758,0.007175446886629758,False,overall_days,exit_rate
CO,-0.09866725912943829,0.048471060931696966,0.04255296226952532,-0.19367053855556432,-0.0036639797033122395,407,0.07638192382755526,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.010740471084970907,0.010740471084970907,False,overall_days,exit_rate
CT,-0.10911659482496645,0.0498241309874444,0.029188786423624213,-0.20677189156035747,-0.011461298089575439,407,0.07201998439536894,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.00029113538944273987,0.00029113538944273987,False,overall_days,exit_rate
DC,-0.09625943342452767,0.050529656949241775,0.05760782099213646,-0.19529756104504153,0.0027786941959862116,407,0.06672685967012126,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.013148296789881525,0.013148296789881525,False,overall_days,exit_rate
DE,-0.10873624587804531,0.049714207385166014,0.029394878274906278,-0.20617609235297069,-0.011296399403119925,407,0.07651328171626293,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0006714843363638812,0.0006714843363638812,False,overall_days,exit_rate
FL,-0.11211864758985768,0.04924970289563409,0.023424336570871063,-0.2086480652653005,-0.015589229914414873,407,0.0763189594083955,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.002710917375448485,0.002710917375448485,False,overall_days,exit_rate
GA,-0.11104058150342308,0.04994820075791718,0.026853639612518077,-0.20893905498894075,-0.013142108017905413,407,0.07726453067217776,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.0016328512890138869,0.0016328512890138869,False,overall_days,exit_rate
HI,-0.10733319055776304,0.04942806246718211,0.030572164534840462,-0.20421219299343996,-0.010454188122086108,407,0.06820062182302289,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0020745396566461544,0.0020745396566461544,False,overall_days,exit_rate
IA,-0.10995466697825375,0.049590372728812795,0.027254850915620077,-0.20715179752672683,-0.01275753642978067,407,0.07652891549851293,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.0005469367638445549,0.0005469367638445549,False,overall_days,exit_rate
ID,-0.10593079661908314,0.0494419913774001,0.0328484690339812,-0.20283709971878733,-0.009024493519378937,407,0.07343988983872718,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.003476933595326054,0.003476933595326054,False,overall_days,exit_rate
IL,-0.11118610203486592,0.05067450999029127,0.028891028514914874,-0.2105081416158368,-0.011864062453895027,407,0.0731829202759392,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.0017783718204567311,0.0017783718204567311,False,overall_days,exit_rate
IN,-0.10827602236865352,0.04940724117574068,0.029081698724522598,-0.20511421507310523,-0.011437829664201801,407,0.07741831441941183,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0011317078457556695,0.0011317078457556695,False,overall_days,exit_rate
KS,-0.10962641584689677,0.049732596954908524,0.028159889983916164,-0.20710230587851747,-0.012150525815276064,407,0.07224340892513192,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.00021868563248757245,0.00021868563248757245,False,overall_days,exit_rate
KY,-0.1102740554996605,0.0495385627436269,0.026656207970253032,-0.20736963847716922,-0.01317847252215179,407,0.07566889748777583,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.0008663252852513098,0.0008663252852513098,False,overall_days,exit_rate
LA,-0.10734586744371422,0.049616047293259545,0.031184430523887974,-0.20459332013850293,-0.010098414748925505,407,0.07363908214307269,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.0020618627706949777,0.0020618627706949777,False,overall_days,exit_rate
MA,-0.10515091362105652,0.05161310938951271,0.04238146968462253,-0.20631260802450144,-0.0039892192176116115,407,0.07228765867350018,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,0.004256816593352669,0.004256816593352669,False,overall_days,exit_rate
MD,-0.1144866182556984,0.05025448423220779,0.023327627215806945,-0.21298540735082566,-0.015987829160571135,407,0.07964593389776087,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.005078888041289212,0.005078888041289212,False,overall_days,exit_rate
ME,-0.11556462988131976,0.04945205655101475,0.020014275257625336,-0.21249066072130868,-0.018638599041330847,407,0.08111019073924763,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.006156899666910562,0.006156899666910562,False,overall_days,exit_rate
MI,-0.11607219039444164,0.049461053837010854,0.019501949495188686,-0.2130158559149829,-0.019128524873900363,407,0.07982883744934788,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.006664460180032444,0.006664460180032444,False,overall_days,exit_rate
MN,-0.12336448280161934,0.05173044696653911,0.017628522696528703,-0.224756158856036,-0.021972806747202686,407,0.07870742443217182,-0.1094077302144092,0.04914610284649686,0.02663336026655827,-0.20573409179354304,-0.013081368635275342,-0.013956752587210144,0.013956752587210144,False,overall_days,exit_rate
