state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-0.12881021808240417,0.05719249875858974,0.024934648966745465,-0.24090751564924007,-0.016712920515568275,407,0.13952851316822723,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,0.007738182022943213,0.007738182022943213,False,overall_days,inflow_rate
AL,-0.13763023581453052,0.05807755808511495,0.018347392649499472,-0.25146224966135583,-0.023798221967705216,407,0.13993153181946405,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.001081835709183132,0.001081835709183132,False,overall_days,inflow_rate
AR,-0.13826982372521832,0.05856874348811527,0.018788981889896084,-0.25306456096192426,-0.02347508648851239,407,0.14147301819039915,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.001721423619870932,0.001721423619870932,False,overall_days,inflow_rate
AZ,-0.13719404709254526,0.05869617112203075,0.01999021499697151,-0.2522385424917255,-0.022149551693364994,407,0.1369005138265792,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.0006456469871978787,0.0006456469871978787,False,overall_days,inflow_rate
CA,-0.14811164332819274,0.06180659852033702,0.017088572082706532,-0.2692525764280533,-0.02697071022833218,407,0.14629255209026337,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.011563243222845354,0.011563243222845354,False,overall_days,inflow_rate
CO,-0.12894738677758963,0.057944924604931995,0.026702273140908783,-0.24251943900325634,-0.015375334551922915,407,0.14421827326007675,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,0.007601013327757755,0.007601013327757755,False,overall_days,inflow_rate
CT,-0.14176485501203162,0.059209231222246195,0.017183677728526803,-0.2578149482076342,-0.02571476181642908,407,0.1404009176745573,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.005216454906684237,0.005216454906684237,False,overall_days,inflow_rate
DC,-0.10917691165338565,0.055941901397081516,0.05179075851952364,-0.21882303839166542,0.00046921508489411456,407,0.14370320679821724,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,0.02737148845196173,0.02737148845196173,False,overall_days,inflow_rate
DE,-0.135954919224373,0.058437523951179585,0.020568844055762314,-0.250492466168685,-0.02141737228006102,407,0.13963346762346152,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,0.0005934808809743841,0.0005934808809743841,False,overall_days,inflow_rate
FL,-0.13856595393356885,0.057821063147937966,0.017084498159491313,-0.2518952377035273,-0.025236670163610447,407,0.15023187707162933,-0.13654840010534738,0.058022983649554986,0.01915298710123836,-0.2502734480584752,-0.022823352152219617,-0.002017553828221469,0.002017553828221469,False,overall_days,inflow_rate
