state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-13.104932428440982,3.733425676984767,0.0005070651909584445,-20.422446755331123,-5.7874181015508395,407,0.0976052897940265,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,2.4129642474723365,2.4129642474723365,False,share_moratorium_intensity,exit_rate
AL,-15.490136696359794,4.676648715279625,0.0010232738068030045,-24.656368178307858,-6.323905214411729,407,0.08634658121986782,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,0.02775997955352416,0.02775997955352416,False,share_moratorium_intensity,exit_rate
AR,-15.653616902757577,4.721428583381443,0.0010119525182652467,-24.907616926185206,-6.3996168793299475,407,0.08470298330779102,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,-0.1357202268442581,0.1357202268442581,False,share_moratorium_intensity,exit_rate
AZ,-15.603443622739908,4.7174451916942175,0.0010397909525783344,-24.849636198460573,-6.357251047019242,407,0.08462296996507157,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,-0.08554694682658948,0.08554694682658948,False,share_moratorium_intensity,exit_rate
CA,-15.13683045751119,4.694169396845201,0.001381654515260733,-24.337402475327785,-5.936258439694596,407,0.08559559388752902,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,0.38106621840212895,0.38106621840212895,False,share_moratorium_intensity,exit_rate
CO,-14.552364431675612,4.5663094302760205,0.0015690669656669431,-23.502330915016614,-5.602397948334611,407,0.08860922841024532,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,0.965532244237707,0.965532244237707,False,share_moratorium_intensity,exit_rate
CT,-15.844252999760155,4.794597249134131,0.0010506322656667066,-25.24166360806305,-6.446842391457258,407,0.08122562009617429,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,-0.3263563238468361,0.3263563238468361,False,share_moratorium_intensity,exit_rate
DC,-15.11030058160549,5.711917863546313,0.008531732043339568,-26.305659594156264,-3.914941569054715,407,0.07114938533359305,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,0.40759609430782895,0.40759609430782895,False,share_moratorium_intensity,exit_rate
DE,-15.421128806225687,4.704981736324993,0.0011530289952845774,-24.64289300942267,-6.1993646030287,407,0.08504123241280925,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,0.09676786968763196,0.09676786968763196,False,share_moratorium_intensity,exit_rate
FL,-15.590073123383256,4.679971136730495,0.0009579434118272001,-24.762816551375025,-6.417329695391487,407,0.08537838992909419,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,-0.07217644746993734,0.07217644746993734,False,share_moratorium_intensity,exit_rate
GA,-15.646448734140138,4.700360119033286,0.0009661636361042447,-24.85915456744538,-6.433742900834897,407,0.08532840453510537,-15.517896675913319,4.6474737896895055,0.0009305156135575032,-24.62694530370475,-6.408848048121888,-0.1285520582268198,0.1285520582268198,False,share_moratorium_intensity,exit_rate
