state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-20.015836435624365,6.328240800402623,0.0017000989058655325,-32.419188404413504,-7.612484466835223,407,0.150879473230776,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,0.9100333903650295,0.9100333903650295,False,share_moratorium_intensity,inflow_rate
AL,-21.05810570509829,6.3980235240883685,0.0010998377062421127,-33.59823181231149,-8.517979597885086,407,0.15163174750061403,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,-0.13223587910889378,0.13223587910889378,False,share_moratorium_intensity,inflow_rate
AR,-21.03403931620816,6.426529128659367,0.0011714425408795304,-33.63003640838052,-8.438042224035799,407,0.15354016025566142,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,-0.10816949021876354,0.10816949021876354,False,share_moratorium_intensity,inflow_rate
AZ,-20.95839621916507,6.410619509129264,0.0011863056922716275,-33.523210457058426,-8.393581981271714,407,0.14976795086330663,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,-0.03252639317567585,0.03252639317567585,False,share_moratorium_intensity,inflow_rate
CA,-20.643144070833422,6.4802681018899335,0.0015762463578288255,-33.344469550537696,-7.941818591129152,407,0.15178329272030355,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,0.28272575515597254,0.28272575515597254,False,share_moratorium_intensity,inflow_rate
CO,-20.469846828491455,6.435518492585829,0.0016017106115926438,-33.08346307395968,-7.8562305830232315,407,0.15798920221349744,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,0.4560229974979393,0.4560229974979393,False,share_moratorium_intensity,inflow_rate
CT,-22.33864196504304,6.4482826988954445,0.0005984514007542074,-34.97727605487811,-9.700007875207968,407,0.1531574794834577,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,-1.4127721390536436,1.4127721390536436,False,share_moratorium_intensity,inflow_rate
DC,-17.035138834684414,6.943110020139372,0.014638663884972036,-30.643634474157583,-3.426643195211245,407,0.14437884569451287,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,3.890730991304981,3.890730991304981,False,share_moratorium_intensity,inflow_rate
DE,-20.87675706804349,6.46138882812016,0.001351985519118415,-33.541079171159005,-8.212434964927974,407,0.15056798469589272,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,0.04911275794590608,0.04911275794590608,False,share_moratorium_intensity,inflow_rate
FL,-20.913633707427177,6.380985492448543,0.0011535216971132467,-33.42036527262632,-8.406902142228033,407,0.16227940932206297,-20.925869825989395,6.393804539544729,0.0011699217316076815,-33.45772672349706,-8.394012928481725,0.012236118562217513,0.012236118562217513,False,share_moratorium_intensity,inflow_rate
