state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-7.2816059967406535,4.620940879527326,0.11598938246826274,-16.33865012061421,1.7754381271329045,407,0.022616180567654687,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,-0.1653215619544568,0.1653215619544568,False,share_moratorium_intensity,perm_exit_rate
AL,-7.1368619428513345,4.620860021496479,0.12338430411942247,-16.193747584984433,1.9200236992817636,407,0.029755838135518853,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,-0.020577508065137806,0.020577508065137806,False,share_moratorium_intensity,perm_exit_rate
AR,-7.198892511399585,4.631968678798334,0.12105672806206913,-16.27755112184432,1.879766099045149,407,0.02287279036847578,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,-0.08260807661338809,0.08260807661338809,False,share_moratorium_intensity,perm_exit_rate
AZ,-6.966092775684464,4.6407721349697075,0.13425117473690462,-16.06200616022509,2.1298206088561624,407,0.030802621590737322,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,0.1501916591017327,0.1501916591017327,False,share_moratorium_intensity,perm_exit_rate
CA,-6.933259572064729,4.632465760547493,0.13539148771808396,-16.012892462737817,2.146373318608358,407,0.03858486664293814,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,0.18302486272146723,0.18302486272146723,False,share_moratorium_intensity,perm_exit_rate
CO,-6.755506171401074,4.664064909042314,0.14840633348641497,-15.89707339312401,2.386061050321861,407,0.019878583461835797,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,0.3607782633851224,0.3607782633851224,False,share_moratorium_intensity,perm_exit_rate
CT,-7.548271360256203,4.769011703948563,0.11438641187576648,-16.895534299995386,1.7989915794829798,407,0.022683540161072213,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,-0.4319869254700066,0.4319869254700066,False,share_moratorium_intensity,perm_exit_rate
DC,-2.361949405689997,2.0039582376638116,0.23935066389552273,-6.289707551511068,1.5658087401310739,407,-0.025239814432197694,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,4.7543350290962,4.7543350290962,False,share_moratorium_intensity,perm_exit_rate
DE,-6.965937657023205,4.636389057641129,0.13389331319682962,-16.053260209999817,2.1213848959534074,407,0.02125027993557449,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,0.15034677776299166,0.15034677776299166,False,share_moratorium_intensity,perm_exit_rate
FL,-7.141631317116412,4.6144767160144395,0.12261882739834018,-16.186005680504714,1.9027430462718904,407,0.019161486839597508,-7.116284434786197,4.610069176137926,0.12357168261501084,-16.15202002001653,1.9194511504441376,-0.02534688233021498,0.02534688233021498,False,share_moratorium_intensity,perm_exit_rate
