state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-3.0019730477954925,1.7468784991947384,0.08660391991627625,-6.42585490621718,0.4219088106261948,407,0.012008562594493788,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.07535460005040617,0.07535460005040617,False,weighted_scorecard,median_days_homeless
AL,-2.9895898850115366,1.75134070487959,0.08871375771566936,-6.422217666575532,0.44303789655245973,407,0.010749509722661088,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.06297143726645027,0.06297143726645027,False,weighted_scorecard,median_days_homeless
AR,-1.558721561324422,0.9467800444111731,0.10060180399316554,-3.4144104483703215,0.2969673257214773,407,-0.006014097807251595,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,1.3678968864206642,1.3678968864206642,False,weighted_scorecard,median_days_homeless
AZ,-2.9450329596154448,1.7883219601760154,0.10050425784909711,-6.450144001560435,0.5600780823295453,407,0.01137717241756897,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.018414511870358474,0.018414511870358474,False,weighted_scorecard,median_days_homeless
CA,-2.978490166350219,1.7664259780027693,0.09266498021648273,-6.440685083235646,0.483704750535209,407,0.010488598426424911,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.05187171860513251,0.05187171860513251,False,weighted_scorecard,median_days_homeless
CO,-2.9359726387735376,1.7607317892221839,0.09632518318536243,-6.387006945649018,0.5150616681019429,407,0.011308131000507426,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.009354191028451364,0.009354191028451364,False,weighted_scorecard,median_days_homeless
CT,-3.012699693034343,1.789528000574124,0.0931771234922103,-6.5201745741596255,0.49477518809094034,407,0.011455043643002316,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.08608124528925654,0.08608124528925654,False,weighted_scorecard,median_days_homeless
DC,-2.67272581013793,2.0065575660766886,0.1837383538635673,-6.60557863964824,1.2601270193723795,407,0.008600782657870232,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.2538926376071564,0.2538926376071564,False,weighted_scorecard,median_days_homeless
DE,-2.89886981721053,1.750239595138105,0.09857364531066226,-6.3293394236812155,0.5315997892601558,407,0.011089415261605562,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.02774863053455645,0.02774863053455645,False,weighted_scorecard,median_days_homeless
FL,-2.820890587322406,1.7558342292605584,0.10905841357778456,-6.2623256766731,0.6205445020282885,407,0.009393848463094878,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.10572786042268012,0.10572786042268012,False,weighted_scorecard,median_days_homeless
GA,-2.970803368977858,1.7842142382395643,0.09680824775474028,-6.467863275927404,0.5262565379716877,407,0.011286856221660369,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.044184921232771845,0.044184921232771845,False,weighted_scorecard,median_days_homeless
HI,-2.968197464599959,1.7609483617290551,0.09278068151675178,-6.419656253588907,0.48326132438898917,407,0.011047399724766871,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.04157901685487264,0.04157901685487264,False,weighted_scorecard,median_days_homeless
IA,-2.773253595795683,1.7193399714186381,0.10766144856961324,-6.143159939776213,0.5966527481848476,407,0.010616920397853002,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.1533648519494033,0.1533648519494033,False,weighted_scorecard,median_days_homeless
ID,-2.8613328288578783,1.7666258345022214,0.10621642853285551,-6.323919464482232,0.6012538067664757,407,0.010522730226102506,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.06528561888720796,0.06528561888720796,False,weighted_scorecard,median_days_homeless
IL,-3.013339809887664,1.7744355583111648,0.09036977135791635,-6.491233504177547,0.464553884402219,407,0.011157577375516148,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,-0.08672136214257753,0.08672136214257753,False,weighted_scorecard,median_days_homeless
IN,-2.9164304635971954,1.758434379056421,0.09811510405108437,-6.362961846547781,0.5301009193533899,407,0.01142548707689528,-2.9266184477450863,1.7388502319540864,0.09324437857087386,-6.334764902375095,0.4815280068849228,0.010187984147890905,0.010187984147890905,False,weighted_scorecard,median_days_homeless
